SalesOrderNumber	OrderDate	ResellerKey	EmployeeKey	SalesTerritoryKey
SO43897	Friday, August 25, 2017	312	282	4
SO44544	Saturday, November 18, 2017	312	282	4
SO45321	Sunday, February 18, 2018	312	282	4
SO46082	Wednesday, May 23, 2018	312	282	4
SO47028	Friday, August 24, 2018	312	282	4
SO48049	Monday, November 19, 2018	312	282	4
SO49132	Wednesday, February 20, 2019	312	282	4
SO50294	Saturday, May 25, 2019	312	282	4
SO51845	Tuesday, August 27, 2019	312	282	4
SO57144	Friday, November 22, 2019	312	282	4
SO63283	Thursday, February 27, 2020	312	282	4
SO69532	Wednesday, May 27, 2020	312	282	4
SO44113	Saturday, September 23, 2017	187	282	4
SO44776	Saturday, December 23, 2017	187	282	4
SO45554	Saturday, March 17, 2018	187	282	4
SO46362	Monday, June 18, -1	187	282	4
SO47417	Tuesday, September 18, 2018	187	282	4
SO48356	Friday, December 21, 2018	187	282	4
SO49472	Friday, March 8, 2019	187	282	4
SO50702	Friday, June 14, 2019	187	282	4
SO53531	Sunday, September 15, 2019	187	282	4
SO58975	Friday, December 13, 2019	187	282	4
SO65209	Tuesday, March 10, 2020	187	282	4
SO46625	Monday, July 9, 2018	475	282	4
SO47677	Friday, October 5, 2018	475	282	4
SO48758	Tuesday, January 15, 2019	475	282	4
SO49831	Thursday, April 4, 2019	475	282	4
SO51090	Wednesday, July 3, 2019	475	282	4
SO55249	Sunday, October 6, 2019	475	282	4
SO61218	Thursday, January 16, 2020	475	282	4
SO67273	Tuesday, April 7, 2020	475	282	4
SO43873	Saturday, August 19, 2017	78	282	4
SO44520	Monday, November 13, 2017	78	282	4
SO45301	Thursday, February 15, 2018	78	282	4
SO46057	Tuesday, May 15, 2018	78	282	4
SO46988	Tuesday, August 14, 2018	78	282	4
SO48012	Tuesday, November 13, 2018	78	282	4
SO49058	Monday, February 4, 2019	78	282	4
SO50226	Friday, May 10, 2019	78	282	4
SO43666	Wednesday, July 5, 2017	511	282	4
SO43859	Tuesday, August 8, 2017	259	282	4
SO43864	Saturday, August 12, 2017	384	282	4
SO43872	Wednesday, August 16, 2017	240	282	4
SO43901	Saturday, August 26, 2017	385	282	4
SO43912	Tuesday, August 29, 2017	403	282	4
SO44080	Wednesday, September 6, 2017	439	282	4
SO44087	Saturday, September 9, 2017	96	282	4
SO44089	Sunday, September 10, 2017	114	282	4
SO44115	Saturday, September 23, 2017	366	282	4
SO44286	Saturday, October 7, 2017	511	282	4
SO44481	Wednesday, November 1, 2017	492	282	4
SO44500	Monday, November 6, 2017	259	282	4
SO44505	Tuesday, November 7, 2017	384	282	4
SO44521	Monday, November 13, 2017	240	282	4
SO44546	Sunday, November 19, 2017	313	282	4
SO44551	Thursday, November 23, 2017	385	282	4
SO44564	Monday, November 27, 2017	403	282	4
SO44752	Monday, December 11, 2017	114	282	4
SO44753	Tuesday, December 12, 2017	96	282	4
SO44777	Saturday, December 23, 2017	366	282	4
SO44790	Wednesday, December 27, 2017	330	282	4
SO45044	Friday, January 5, 2018	511	282	4
SO45286	Thursday, February 8, 2018	259	282	4
SO45290	Friday, February 9, 2018	384	282	4
SO45299	Monday, February 12, 2018	240	282	4
SO45311	Saturday, February 17, 2018	492	282	4
SO45324	Monday, February 19, 2018	528	282	4
SO45325	Tuesday, February 20, 2018	313	282	4
SO45339	Saturday, February 24, 2018	403	282	4
SO45523	Monday, March 5, 2018	439	282	4
SO45531	Wednesday, March 7, 2018	114	282	4
SO45555	Saturday, March 17, 2018	366	282	4
SO45784	Thursday, April 5, 2018	511	282	4
SO46058	Tuesday, May 15, 2018	240	282	4
SO46069	Friday, May 18, 2018	492	282	4
SO46084	Wednesday, May 23, 2018	313	282	4
SO46085	Thursday, May 24, 2018	528	282	4
SO46089	Friday, May 25, 2018	385	282	4
SO46101	Wednesday, May 30, 2018	403	282	4
SO46339	Thursday, June 7, 2018	114	282	4
SO46364	Tuesday, June 19, 2018	366	282	4
SO46366	Tuesday, June 19, 2018	674	282	4
SO46606	Monday, July 2, 2018	510	282	4
SO46942	Friday, August 3, 2018	583	282	4
SO46960	Wednesday, August 8, 2018	259	282	4
SO46970	Friday, August 10, 2018	258	282	4
SO46992	Thursday, August 16, 2018	97	282	4
SO47002	Sunday, August 19, 2018	492	282	4
SO47016	Tuesday, August 21, 2018	529	282	4
SO47032	Friday, August 24, 2018	313	282	4
SO47035	Friday, August 24, 2018	528	282	4
SO47039	Saturday, August 25, 2018	385	282	4
SO47056	Tuesday, August 28, 2018	403	282	4
SO47350	Saturday, September 1, 2018	277	282	4
SO47355	Sunday, September 2, 2018	24	282	4
SO47372	Friday, September 7, 2018	649	282	4
SO47400	Friday, September 14, 2018	133	282	4
SO47420	Tuesday, September 18, 2018	151	282	4
SO47425	Wednesday, September 19, 2018	674	282	4
SO47434	Saturday, September 22, 2018	61	282	4
SO47458	Sunday, September 30, 2018	457	282	4
SO47972	Saturday, November 3, 2018	583	282	4
SO47994	Thursday, November 8, 2018	258	282	4
SO48016	Wednesday, November 14, 2018	97	282	4
SO48041	Saturday, November 17, 2018	529	282	4
SO48055	Tuesday, November 20, 2018	528	282	4
SO48066	Saturday, November 24, 2018	385	282	4
SO48080	Tuesday, November 27, 2018	403	282	4
SO48295	Tuesday, December 4, 2018	24	282	4
SO48314	Sunday, December 9, 2018	649	282	4
SO48315	Monday, December 10, 2018	349	282	4
SO48341	Tuesday, December 18, 2018	133	282	4
SO48362	Sunday, December 23, 2018	151	282	4
SO48369	Tuesday, December 25, 2018	25	282	4
SO48373	Tuesday, December 25, 2018	61	282	4
SO48397	Sunday, December 30, 2018	457	282	4
SO49046	Saturday, February 2, 2019	583	282	4
SO49082	Saturday, February 9, 2019	493	282	4
SO49086	Saturday, February 9, 2019	258	282	4
SO49104	Wednesday, February 13, 2019	97	282	4
SO49146	Sunday, February 24, 2019	385	282	4
SO49160	Wednesday, February 27, 2019	403	282	4
